Fold,Accuracy,Precision,Recall,F1,FPR
1,0.9997243945292315,0.9994529326716424,0.9989844940046089,0.9992186584365356,0.00011712344811431249
2,0.99964860302477,0.9993355741421089,0.9986720306214115,0.999003692199496,0.00014222132985309372
3,0.9996968339821546,0.9996090543023574,0.9986720306214115,0.9991403227697238,8.36596057959375e-05
4,0.9995314706996934,0.9993351323868748,0.9980080459321173,0.9986711482842179,0.00014222132985309372
5,0.9998484159466424,0.9998827483780193,0.9992578704788688,0.9995702117683832,2.5097881738781246e-05
