Fold,Accuracy,Precision,Recall,F1,FPR
1,0.9997312846660006,0.9994919890582259,0.9989844940046089,0.9992381770945247,0.00010875748753471873
2,0.9996417128880009,0.9993355481727575,0.9986329726985119,0.9989841369070876,0.00014222132985309372
3,0.9996830537086161,0.999687170062175,0.9985157989298129,0.9991011411599187,6.692768463675e-05
4,0.9995383608364626,0.9994523548740416,0.997929930086318,0.9986905622764672,0.00011712344811431249
5,0.9998484159466424,0.9999609100148542,0.9991797515819076,0.9995701781806815,8.36596057959375e-06
