Fold,Accuracy,Precision,Recall,F1,FPR
1,99.96968339821547,99.92967376440711,99.89844940046089,99.91405914293527,0.01505872904326875
2,99.9614152340924,99.91013167663033,99.87110885443113,99.89061645441049,0.019241709333065623
3,99.96761635718468,99.94918301931045,99.86720306214116,99.90817622350298,0.010875748753471873
4,99.95383608364627,99.93742177722153,99.80080459321174,99.86906646342655,0.013385536927349999
5,99.9841525762399,99.98827437951925,99.92188110303883,99.9550667161584,0.0025097881738781248
